Status,Date,Original Description,Custom Description,Merchant,Geo,High Level Category,Category-Subcategory,Tag,Currency,Amount,Split Type,Note,Account Name,Account Number,Simple Description
pending,12/12/2017,Pending* ALDI x6070 LYNCHBURG VA ALDI x6070 LYNCHBURG VA,-,ALDI,Lynchburg-VA-US-,Home/Utilities,Groceries,-,$,-42.30,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,ALDI Lynchburg VA
pending,12/12/2017,Pending* LIBERTY CHICK FIL A LYNCHBURG VA LIBERTY CHICK FIL A LYNCHBURG VA,-,-,Lynchburg-VA-US-,Home/Utilities,J Food,-,$,-4.97,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Pending* LIBERTY CHICK FIL A LYNCHBURG VA LIBERTY CHICK FIL A LYNCHBURG VA
pending,12/11/2017,Pending* MARATHON PETROxx2796 GOODE VA MARATHON PETROxx2796 GOODE VA,-,Marathon Petroleum Corporation,Goode-VA-US-,Automotive Expenses,Automotive/Fuel,-,$,-22.28,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Marathon Petroleum Corporation Goode VA
posted,12/11/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-767.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Payment by Check
posted,12/11/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-50.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Payment by Check
posted,12/11/2017,MOBILE DEPOSIT,-,-,-,Income,Deposits,-,$,26.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Mobile/Remote Deposit
posted,12/11/2017,MOBILE DEPOSIT,-,-,-,Income,Deposits,-,$,46.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Mobile/Remote Deposit
posted,12/10/2017,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA,-,Amazon,-,Giving,Gifts,-,$,-23.99,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA
posted,12/09/2017,WM SUPERCENTER #1399 BEDFORD VA,-,Walmart,Bedford-VA-US-,Home/Utilities,Groceries,-,$,-3.12,Split,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WM SUPERCENTER #1399 BEDFORD VA
posted,12/09/2017,BOOTLEGGERS LYNCHBURG VA,Bootleggers,-,Lynchburg-VA-US-,Home/Utilities,J Food,-,$,-45.91,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Bootleggers
posted,12/09/2017,WM SUPERCENTER #1399 BEDFORD VA,WM SUPERCENTER #1399 BEDFORD VA,Walmart,Bedford-VA-US-,Miscellaneous Expenses,Other Expenses - Misc,-,$,-8.41,Parent,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WM SUPERCENTER #1399 BEDFORD VA
posted,12/09/2017,MURPHY7480ATWALMART BEDFORD VA,-,Murphy Oil,Bedford-VA-US-,Automotive Expenses,Automotive/Fuel,-,$,-32.77,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,MURPHY7480ATWALMART BEDFORD VA
posted,12/08/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-75.28,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,CHECK
posted,12/08/2017,WAL-MART #3243 ROANOKE VA,-,Walmart,Roanoke-VA-US-,Home/Utilities,Electronics/General Merchandise,-,$,-28.93,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Walmart Roanoke VA
posted,12/08/2017,LIBERTY CHICK xxxx3909 LYNCHBURG VA,-,-,Lynchburg-VA-US-,Home/Utilities,J Food,-,$,-6.41,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,LIBERTY CHICK XX LYNCHBURG VA
posted,12/07/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-17.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,CHECK
posted,12/07/2017,WAL-MART #1309 SALEM VA,-,Walmart,Salem-VA-US-,Uncategorized,Uncategorized,-,$,-9.98,Split,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WAL-MART #1309 SALEM VA
posted,12/07/2017,WAL-MART #1309 SALEM VA,-,Walmart,Salem-VA-US-,Home/Utilities,Groceries,-,$,-3.83,Split,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WAL-MART #1309 SALEM VA
posted,12/07/2017,REDBOX *DVD RENTAL OAKBROOK TER IL,Redbox Oakbrook Ter IL,Redbox,Oakbrook Ter-IL-US-,Miscellaneous Expenses,Other Expenses - Misc,-,$,-1.58,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Redbox Oakbrook Ter IL
posted,12/07/2017,WAL-MART #1309 SALEM VA,WAL-MART #1309 SALEM VA,Walmart,Salem-VA-US-,Uncategorized,Uncategorized,-,$,-27.84,Parent,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WAL-MART #1309 SALEM VA
posted,12/07/2017,WAL-MART #1399 BEDFORD VA,WAL-MART #1399 BEDFORD VA,Walmart,Bedford-VA-US-,Miscellaneous Expenses,Other Expenses - Misc,-,$,-0.47,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WAL-MART #1399 BEDFORD VA
posted,12/07/2017,WM SUPERCENTER #1309 SALEM VA,-,Walmart,Salem-VA-US-,Home/Utilities,J Food,-,$,-17.88,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WM SUPERCENTER #1309 SALEM VA
posted,12/07/2017,8083 Dominos Pizza Bedford VA,-,Domino's Pizza,Bedford-VA-US-,Home/Utilities,J Food,-,$,-12.04,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,X083 Dominos Pizza Bedford VA
posted,12/06/2017,INTEREST PAYMENT,-,-,-,Income,Interest Income,-,$,0.21,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx9240,x9240,INTEREST PAYMENT
posted,12/06/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-795.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,CHECK
posted,12/06/2017,PAYMENT CITI CARD ONLINE xxxxxxxxxxx8882 RECURRING INTERNET PAYMENT,-,-,-,Credit Card Payment,Credit Card Payments,-,$,-562.38,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Citibank
posted,12/06/2017,CHICK-FIL-A #x2849 SALEM VA,-,Chick-fil-A,Salem-VA-US-,Home/Utilities,J Food,-,$,-7.29,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,CHICK-FIL-A #02849 SALEM VA
posted,12/06/2017,Amazon.com AMZN.COM/BILL WA,Amazon.com,-,-,Giving,Gifts,-,$,-25.26,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Amazon.com
posted,12/06/2017,ERIE INSURANCE xxx-xxx-0811 PA,-,-,-,Insurance,Insurance,-,$,-18.00,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Erie Insurance
posted,12/06/2017,WM SUPERCENTER #1399 BEDFORD VA,-,-,-,Home/Utilities,Groceries,-,$,-19.13,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WM SUPERCENTER #1399 BEDFORD VA
posted,12/06/2017,ERIE INSURANCE xxx-xxx-0811 PA,-,-,-,Insurance,Insurance,-,$,-144.11,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Erie Insurance
posted,12/05/2017,TRANSFER FROM CHECKING *********xxxx xx-x4-17 BB&T ONLINE TRANSFER,-,-,-,Transfers,Transfers,-,$,14.31,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx4241,x4241,Transfer
posted,12/05/2017,TRANSFER TO CHECKING *********xxxx xx-x4-17 BB&T ONLINE TRANSFER,-,-,-,Transfers,Transfers,-,$,-100.64,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx9240,x9240,Transfer
posted,12/05/2017,TRANSFER FROM CHECKING *********xxxx xx-x4-17 BB&T ONLINE TRANSFER,-,-,-,Transfers,Transfers,-,$,521.45,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx9240,x9240,Transfer
posted,12/05/2017,TRANSFER FROM CHECKING *********xxxx xx-x4-17 BB&T ONLINE TRANSFER,-,-,-,Transfers,Transfers,-,$,"1,916.24",-,-,BB&T - Bank - xxxxxxxxxxxxxxxx9240,x9240,Transfer
posted,12/05/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-37.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,CHECK
posted,12/05/2017,TRANSFER TO SAVINGS *********xxxx xx-x4-17 BB&T ONLINE TRANSFER,-,-,-,Transfers,Transfers,-,$,"-1,916.24",-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Transfer
posted,12/05/2017,TRANSFER TO SAVINGS *********xxxx xx-x4-17 BB&T ONLINE TRANSFER,-,-,-,Transfers,Transfers,-,$,-14.31,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Transfer
posted,12/05/2017,TRANSFER TO SAVINGS *********xxxx xx-x4-17 BB&T ONLINE TRANSFER,-,-,-,Transfers,Transfers,-,$,-521.45,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Transfer
posted,12/05/2017,TRANSFER FROM SAVINGS *********xxxx xx-x4-17 BB&T ONLINE TRANSFER,-,-,-,Transfers,Transfers,-,$,100.64,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Transfer
posted,12/05/2017,LIBERTY FRESH xxxx1661 LYNCHBURG VA,-,-,-,Home/Utilities,J Food,-,$,-7.37,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,LIBERTY FRESH xxxx1661 LYNCHBURG VA
posted,12/05/2017,LIBERTY CHICK xxxx3909 LYNCHBURG VA,-,-,-,Home/Utilities,J Food,-,$,-4.97,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,LIBERTY CHICK xxxx3909 LYNCHBURG VA
posted,12/04/2017,CHECK,-,-,-,Miscellaneous Expenses,Check Payment,-,$,-21.00,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,CHECK
posted,12/04/2017,"ONLINE PAYMENT, THANK YOU",-,-,-,Credit Card Payment,Credit Card Payments,-,$,562.38,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,"ONLINE PAYMENT, THANK YOU"
posted,12/04/2017,KROGER FUEL #3226 SALEM VA,-,-,-,Automotive Expenses,Automotive/Fuel,-,$,-33.13,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,The Kroger Co.
posted,12/02/2017,WM SUPERCENTER #1399 BEDFORD VA,-,-,-,Home/Utilities,Groceries,-,$,-18.95,Split,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WM SUPERCENTER #1399 BEDFORD VA
posted,12/02/2017,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA,-,-,-,Giving,Gifts,-,$,-31.79,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA
posted,12/02/2017,WM SUPERCENTER #1399 BEDFORD VA,WM SUPERCENTER #1399 BEDFORD VA,-,-,Miscellaneous Expenses,Other Expenses - Misc,-,$,-29.16,Parent,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,WM SUPERCENTER #1399 BEDFORD VA
posted,12/02/2017,DON JUAN MEXICAN BAR BEDFORD VA,-,-,-,Travel/Entertainment,Restaurants,-,$,-47.01,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Don Juan
posted,12/02/2017,WENDY'S #3105 LYNCHBURG VA,Wendy's,-,-,Home/Utilities,J Food,-,$,-8.47,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Wendy's
posted,12/02/2017,SQUARE *SQ *HAPPYCOFFE Bedford VA,SQUARE *SQ *HAPPYCOFFE Bedford VA,-,-,Home/Utilities,J Food,-,$,-12.83,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,SQUARE *SQ *HAPPYCOFFE Bedford VA
posted,12/02/2017,BATH AND BODY WORKS 39 LYNCHBURG VA,-,-,-,Personal/Family Expenses,Personal/Family,-,$,-10.53,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,Bath & Body Works
posted,12/01/2017,STRAIGHTTALK*SERVI xx-xx xxx-xxx-2355 FL 6567 DEBIT CARD PURCHASE,-,-,-,Home/Utilities,J Food,-,$,-45.16,-,-,BB&T - Bank - xxxxxxxxxxxxxxxx3744,x3744,Straight Talk
posted,12/01/2017,THAI 99 LYNCHBURG VA,-,-,-,Travel/Entertainment,Restaurants,-,$,-12.05,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,THAI 99 LYNCHBURG VA
posted,12/01/2017,LIBERTY UNIVERSITY - O LYNCHBURG VA,-,-,-,Personal/Family Expenses,Long Term Savings,-,$,-252.72,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,LIBERTY UNIVERSITY - O LYNCHBURG VA
posted,12/01/2017,LIBERTY CHICK xxxx3909 LYNCHBURG VA,-,-,-,Home/Utilities,J Food,-,$,-4.97,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,LIBERTY CHICK xxxx3909 LYNCHBURG VA
posted,12/01/2017,8083 Dominos Pizza Bedford VA,-,-,-,Home/Utilities,J Food,-,$,-9.96,-,-,Citibank (online.citibank.com) - Credit Card - 5837,x5837,8083 Dominos Pizza Bedford VA
